Model,Accuracy,Recall,Prec.,F1
AdaBoostClassifier,0.5093000000000001,0.53855,0.56015,0.5568500000000001
DecisionTreeClassifier,0.4883,0.4756,0.5385,0.51065
DummyClassifier,0.54965,1.0,0.54965,0.7094
ExtraTreesClassifier,0.5243,0.6104499999999999,0.55845,0.57975
GaussianNB,0.49115,0.6104499999999999,0.5294,0.5698000000000001
GradientBoostingClassifier,0.51695,0.55665,0.563,0.5603
KNeighborsClassifier,0.49715,0.5134000000000001,0.5442,0.54645
LGBMClassifier,0.5274000000000001,0.6276999999999999,0.56525,0.59895
LinearDiscriminantAnalysis,0.5710999999999999,0.5693,0.60545,0.5954
LogisticRegression,0.53735,0.6531,0.5803,0.6032
QuadraticDiscriminantAnalysis,0.5484,1.0,0.54915,0.70435
RandomForestClassifier,0.5379499999999999,0.63,0.5702,0.59755
RidgeClassifier,0.5461,0.6188,0.5903,0.6011
SGDClassifier,0.5419499999999999,1.0,0.5419499999999999,0.7029
