Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Extra Trees Classifier,0.7527,0.8088,0.7667,0.827,0.7581,0.5176,0.5651,0.114,"(2, 3, 6)"
CatBoost Classifier,0.7109,0.7833,0.7933,0.7275,0.7454,0.4124,0.4424,0.929,"(2, 3, 6)"
Random Forest Classifier,0.6727,0.7882,0.78,0.6858,0.716,0.3304,0.3653,0.122,"(2, 3, 6)"
Gradient Boosting Classifier,0.6727,0.7325,0.7733,0.6876,0.7084,0.3291,0.3669,0.112,"(2, 3, 6)"
Linear Discriminant Analysis,0.6645,0.7763,0.7233,0.7012,0.6931,0.3181,0.3445,0.081,"(2, 3, 6)"
Ada Boost Classifier,0.6436,0.694,0.6633,0.6869,0.6649,0.2753,0.2861,0.093,"(2, 3, 6)"
Decision Tree Classifier,0.5973,0.6008,0.5767,0.6864,0.6131,0.1969,0.2129,0.076,"(2, 3, 6)"
Quadratic Discriminant Analysis,0.5936,0.5608,0.9167,0.5984,0.715,0.1209,0.1459,0.079,"(2, 3, 6)"
Logistic Regression,0.5827,0.5835,0.6967,0.6088,0.6419,0.1494,0.1564,0.083,"(2, 3, 6)"
Light Gradient Boosting Machine,0.5736,0.5643,0.6433,0.5806,0.5985,0.1411,0.161,0.132,"(2, 3, 6)"
Ridge Classifier,0.5627,0.0,0.68,0.5935,0.6272,0.1078,0.1074,0.073,"(2, 3, 6)"
Extreme Gradient Boosting,0.5545,0.6007,0.6133,0.5931,0.5933,0.0965,0.1155,0.135,"(2, 3, 6)"
Dummy Classifier,0.5545,0.5,1.0,0.5545,0.7123,0.0,0.0,0.095,"(2, 3, 6)"
Naive Bayes,0.5145,0.5197,0.57,0.5571,0.5553,0.019,0.0265,0.075,"(2, 3, 6)"
K Neighbors Classifier,0.5027,0.4512,0.6167,0.526,0.5567,-0.0083,-0.0182,0.1,"(2, 3, 6)"
SVM - Linear Kernel,0.4745,0.0,0.26,0.1645,0.2001,0.0,0.0,0.074,"(2, 3, 6)"
