,Best Model,Min MAE,Median MAE,Max MAE,Other Participants
1,K Neighbors Regressor,0.2401,1.83155,5.7093,"(13, 15)"
2,K Neighbors Regressor,0.2161,1.7499,5.2297,"(3, 13)"
3,K Neighbors Regressor,0.2101,1.6608,5.5881,"(12, 13)"
4,K Neighbors Regressor,0.2247,1.79385,6.1254,"(16, 13)"
5,K Neighbors Regressor,0.2441,1.80695,6.1179,"(9, 3)"
6,K Neighbors Regressor,0.2152,1.7222499999999998,5.3246,"(3, 13)"
8,K Neighbors Regressor,0.2267,1.7951,6.2272,"(16, 13)"
9,K Neighbors Regressor,0.2271,1.7136,6.1179,"(16, 13)"
10,K Neighbors Regressor,0.2183,1.7921,5.9302,"(13, 6)"
12,K Neighbors Regressor,0.2101,1.7895,6.2272,"(3, 13)"
13,K Neighbors Regressor,0.2097,1.71685,6.1179,"(16, 15)"
15,K Neighbors Regressor,0.2097,1.7331,6.2272,"(16, 13)"
16,K Neighbors Regressor,0.2097,1.71865,6.1254,"(13, 15)"
17,K Neighbors Regressor,0.228,1.80695,5.8591,"(3, 6)"
