Model,,Feature,Model,Min,25q,Median,75q,Max,Mean
DecisionTreeRegressor,192,wrist_acc_time,DecisionTreeRegressor,0.1197593081382514,0.24349566156534402,0.2955595343930625,0.36634930214055683,0.5489578405901407,0.3086590151772103
DecisionTreeRegressor,32,trunk_acc_rms,DecisionTreeRegressor,0.000392062542237,0.008567338155795776,0.02574331445815515,0.053488026097298476,0.1863253398613512,0.038494283966527154
DecisionTreeRegressor,96,upperarm_acc_perc25,DecisionTreeRegressor,0.0004058123656966,0.011875370057160975,0.02691750169124375,0.0576975152519406,0.1537788141681846,0.03847139415069304
ExtraTreesRegressor,193,wrist_acc_time,ExtraTreesRegressor,0.0683072790100648,0.1005741636404984,0.11603613309027955,0.12933454305264275,0.2029950762378361,0.11656218129253536
ExtraTreesRegressor,149,weight,ExtraTreesRegressor,0.0108191320155899,0.028461541103736124,0.035851704662623954,0.04151503232063295,0.0611756690948327,0.035218078164427624
ExtraTreesRegressor,13,trunk_acc_mean,ExtraTreesRegressor,0.0194390425075335,0.028378675641286225,0.03165945361731835,0.035315988960064076,0.0497591521597263,0.032068305511708944
GradientBoostingRegressor,194,wrist_acc_time,GradientBoostingRegressor,0.1815131935845705,0.2699178112206491,0.31352927088758775,0.3546774354366322,0.4475059334271085,0.3124299911339739
GradientBoostingRegressor,98,upperarm_acc_perc25,GradientBoostingRegressor,0.0018316354160528,0.02689440477120755,0.039946071066759445,0.061332090545946974,0.145005902646295,0.046196441035475024
GradientBoostingRegressor,14,trunk_acc_mean,GradientBoostingRegressor,0.0061253110964202,0.024571834941173203,0.03514281548582705,0.049686745213757974,0.1070146461220332,0.03861219625236939
RandomForestRegressor,195,wrist_acc_time,RandomForestRegressor,0.110906671226433,0.18010183110236108,0.21169260127885364,0.26127902615383636,0.4233895735479419,0.22439677672518782
RandomForestRegressor,99,upperarm_acc_perc25,RandomForestRegressor,0.0090479676119802,0.02351479142667445,0.0344125150652604,0.053146695910171925,0.1455820124604594,0.041638306906259505
RandomForestRegressor,35,trunk_acc_rms,RandomForestRegressor,0.0092867476598137,0.017015585272813175,0.0236765243039095,0.03935530478991725,0.1281839217718217,0.03296328156505478
